Method: GET | Path: /viagens_extras/static/css/app.css | Raw Path: /viagens_extras/static/css/app.css | Root Path: /viagens_extras/static | Status: 200 | Headers: {}
Method: GET | Path: /static/css/app.css | Raw Path: /static/css/app.css | Root Path: /viagens_extras/static | Status: 404 | Headers: {}
Method: GET | Path: /viagens_extras/static/css/app.css | Raw Path: /viagens_extras/static/css/app.css | Root Path: /viagens_extras/static | Status: 200 | Headers: {}
Method: GET | Path: /static/css/app.css | Raw Path: /static/css/app.css | Root Path: /static | Status: 200 | Headers: {}
Method: GET | Path: /viagens_extras/static/css/app.css | Raw Path: /viagens_extras/static/css/app.css | Root Path: /viagens_extras/static | Status: 200 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: GET | Path: /viagens_extras/static/css/app.css | Raw Path: /viagens_extras/static/css/app.css | Root Path: /viagens_extras/static | Status: 200 | Headers: {}
Method: GET | Path: /static/css/app.css | Raw Path: /static/css/app.css | Root Path: /static | Status: 200 | Headers: {}
Method: GET | Path: /static/css/app.css | Raw Path: /static/css/app.css | Root Path: /static | Status: 200 | Headers: {'host': 'logtudo.com.br', 'x-forwarded-prefix': '/viagens_extras'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '51', 'content-type': 'application/x-www-form-urlencoded'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '51', 'content-type': 'application/x-www-form-urlencoded'}
Method: POST | Path: /logout | Raw Path: /logout | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'content-length': '0', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'cookie': 'session=eyJ1c2VyX2lkIjogMn0=.ajrM0g.7HFT7N7DP8dMYZWP3hC3rACrV7M'}
Method: GET | Path: /partner | Raw Path: /partner | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: POST | Path: /logout | Raw Path: /logout | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'content-length': '0', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: GET | Path: /login | Raw Path: /login | Root Path:  | Status: 200 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: GET | Path: /partner | Raw Path: /partner | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: GET | Path: /empresa/operacoes | Raw Path: /empresa/operacoes | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '51', 'content-type': 'application/x-www-form-urlencoded'}
Method: GET | Path: /empresa/operacoes | Raw Path: /empresa/operacoes | Root Path:  | Status: 403 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'cookie': 'session=eyJ1c2VyX2lkIjogMn0=.ajrM0w.Sil6N16rQqK8hGUJLcTkbIlgE_E'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '55', 'content-type': 'application/x-www-form-urlencoded'}
Method: GET | Path: /empresa/operacoes | Raw Path: /empresa/operacoes | Root Path:  | Status: 403 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'cookie': 'session=eyJ1c2VyX2lkIjogNH0=.ajrM0w.PLWDvJ1XgU7Jfdc0h3Cg-08dE7k'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '55', 'content-type': 'application/x-www-form-urlencoded'}
Method: GET | Path: /empresa/financeiro | Raw Path: /empresa/financeiro | Root Path:  | Status: 403 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'cookie': 'session=eyJ1c2VyX2lkIjogM30=.ajrM1A.t9bMqmE2ZWryvPG_hVrlS8d4-RI'}
Method: POST | Path: /login | Raw Path: /login | Root Path:  | Status: 303 | Headers: {'host': 'testserver', 'accept': '*/*', 'accept-encoding': 'gzip, deflate', 'connection': 'keep-alive', 'user-agent': 'testclient', 'content-length': '49', 'content-type': 'application/x-www-form-urlencoded'}
